id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
134650,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,6.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,20.39868164,24.43371582,UNKNOWN
134651,Suffocation,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,15.50872803,32.60467529,UNKNOWN
134652,Shot_or_Stabbed,Horn of Africa (P),0,10.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,14.00091553,35.38153076,UNKNOWN
134653,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,2.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,20.53308106,23.90631104,UNKNOWN
134654,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,12.96008301,36.15393066,UNKNOWN
134655,Vehicle_Accident,Horn of Africa (P),0,30.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,26.11987305,14.77050781,UNKNOWN
134656,Vehicle_Accident,Horn of Africa (P),0,5.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,15.46710205,32.59448242,UNKNOWN
134657,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,3.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,21.27209473,22.67590332,UNKNOWN
134658,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,3.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,22.00750732,23.46691895,UNKNOWN
134659,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,16.67431641,33.44970703,UNKNOWN
134660,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),0,28.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,22.23132324,23.02728272,UNKNOWN
134661,Shot_or_Stabbed,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,12.95947266,36.14727783,UNKNOWN
134662,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,6.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,26.94470215,14.58990479,UNKNOWN
134663,Other,Horn of Africa (P),0,3.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,12.96148682,36.14849854,UNKNOWN
134664,Starvation,Horn of Africa (P),0,1.0,North Africa,21/02/2016,Regional Mixed Migration Secretariat,,23.16369629,23.22509766,UNKNOWN
134665,Vehicle_Accident,Horn of Africa (P),0,2.0,North Africa,01/03/2016,Regional Mixed Migration Secretariat,,17.85992432,29.09191895,UNKNOWN
134666,Vehicle_Accident,Horn of Africa (P),0,3.0,North Africa,05/03/2016,Regional Mixed Migration Secretariat,,15.52832031,32.39868164,UNKNOWN
134667,Starvation Suffocation Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,2.0,North Africa,07/03/2016,Regional Mixed Migration Secretariat,,23.56988525,33.26672363,UNKNOWN
134668,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,08/03/2016,Regional Mixed Migration Secretariat,,14.00488281,35.41992188,UNKNOWN
134669,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Horn of Africa,08/03/2016,Regional Mixed Migration Secretariat,,6.760681152,40.30889893,UNKNOWN
134670,Sickness_and_lack_of_access_to_medicines Suffocation,Horn of Africa (P),0,1.0,North Africa,08/03/2016,Regional Mixed Migration Secretariat,,24.05230713,32.9755249,UNKNOWN
134671,Starvation Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,1.0,North Africa,12/03/2016,Regional Mixed Migration Secretariat,,17.70147705,34.00848389,UNKNOWN
134672,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),0,1.0,Horn of Africa,14/03/2016,Regional Mixed Migration Secretariat,,8.388916016,48.46832275,UNKNOWN
134673,Sickness_and_lack_of_access_to_medicines Dehydration Harsh_weather_lack_of_adequate_shelter Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,1.0,North Africa,14/03/2016,Regional Mixed Migration Secretariat,,15.64770508,32.48071289,UNKNOWN
134674,Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,1.0,North Africa,14/03/2016,Regional Mixed Migration Secretariat,,22.12792969,31.12432861,UNKNOWN
134675,Vehicle_Accident,Horn of Africa (P),0,1.0,North Africa,15/03/2016,Regional Mixed Migration Secretariat,,18.02392578,34.02868652,UNKNOWN
134676,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),0,1.0,Horn of Africa,17/03/2016,Regional Mixed Migration Secretariat,,10.43109131,45.00671387,UNKNOWN
134677,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,Horn of Africa,17/03/2016,Regional Mixed Migration Secretariat,,12.95452881,36.1572876,UNKNOWN
134678,Shot_or_Stabbed,Horn of Africa (P),0,6.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,14.01611328,35.37872315,UNKNOWN
134679,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,11.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,21.49707031,21.42327881,UNKNOWN
134680,Starvation,Horn of Africa (P),0,1.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,12.077087400000002,24.85388184,UNKNOWN
134681,Vehicle_Accident,Horn of Africa (P),0,20.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,21.80352783,22.23632813,UNKNOWN
134682,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,12.03552246,24.86212158,UNKNOWN
134683,Shot_or_Stabbed,Horn of Africa (P),0,5.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,26.98468018,14.4375,UNKNOWN
134684,Suffocation,Horn of Africa (P),0,1.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,15.59869385,32.63208008,UNKNOWN
134685,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,3.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,22.02770996,22.69787598,UNKNOWN
134686,Shot_or_Stabbed,Horn of Africa (P),0,1.0,Horn of Africa,17/03/2016,Regional Mixed Migration Secretariat,,10.796875,34.32128906,UNKNOWN
134687,Starvation Suffocation Excessive_physical_abuse Sexual_abuse,Horn of Africa (P),0,2.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,22.0770874,31.0692749,UNKNOWN
134688,Vehicle_Accident,Horn of Africa (P),0,6.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,23.93151856,32.41247559,UNKNOWN
134689,Sickness_and_lack_of_access_to_medicines Starvation Dehydration Harsh_weather_lack_of_adequate_shelter Suffocation,Horn of Africa (P),0,9.0,North Africa,17/03/2016,Regional Mixed Migration Secretariat,,17.58447266,33.44250488,UNKNOWN
134690,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,19/03/2016,Regional Mixed Migration Secretariat,,20.69769287,25.13671875,UNKNOWN
134691,Vehicle_Accident,Horn of Africa (P),0,3.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,15.53588867,32.63970947,UNKNOWN
134692,Vehicle_Accident,Horn of Africa (P),0,2.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,14.01947022,35.37670898,UNKNOWN
134693,Starvation Suffocation Excessive_physical_abuse,Horn of Africa (P),0,5.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,30.79492188,33.17871094,UNKNOWN
134694,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,24.18847656,32.49768066,UNKNOWN
134695,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,2.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,14.01690674,35.41107178,UNKNOWN
134696,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,21.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,20.28607178,24.27990723,UNKNOWN
134697,Shot_or_Stabbed,Horn of Africa (P),0,2.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,11.98590088,24.87731934,UNKNOWN
134698,Sickness_and_lack_of_access_to_medicines Starvation,Horn of Africa (P),0,3.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,26.98712158,14.41131592,UNKNOWN
134699,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,1.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,12.03149414,24.9072876,UNKNOWN
134700,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),0,11.0,North Africa,20/03/2016,Regional Mixed Migration Secretariat,,21.02630615,23.269104000000002,UNKNOWN
