id,cause_of_death,missing,dead,affected_nationality
18963,Drowning,0.0,0.75,Syria
18963,Drowning,0.0,0.75,Iraq
19367,Drowning,0.0,1.0,Afghanistan
19765,Drowning,0.0,11.0,Syria
19770,Shot,0.0,1.0,Palestine
19774,Drowning,0.0,5.0,Iraq
19775,Drowning,0.0,4.0,Syria
20165,Vehicle accident,0.0,14.0,Zimbabwe
20169,Vehicle accident,0.0,20.0,Central America
20171,Train accident,0.0,1.0,Honduras
20563,Raped and murdered,0.0,1.0,Haiti
20567,Vehicle accident,0.0,0.5,Honduras
20567,Vehicle accident,0.0,0.5,Guatemala
20568,Shot,0.0,1.0,Central America
21364,Attacked by hippopotamus,0.0,1.0,Malawian
21765,Drowning,11.0,13.0,Iraq
22564,Drowning,0.0,1.0,Somalia
23363,Vehicle accident,0.0,1.0,Morocco
23763,Violent robbery,0.0,1.0,Pakistan
24163,Drowning,0.0,1.0,Somalia
24164,Drowning,12.0,23.0,Indonesia
25765,Drowning,13.0,28.0,Kurdistan
26563,Drowning,16.0,1.5,Nigeria
26563,Drowning,16.0,1.5,others
26963,Drowning,0.0,4.333333333333333,Afghanistan
26963,Drowning,0.0,4.333333333333333,Iraq
26963,Drowning,0.0,4.333333333333333,Syria
26966,Drowning,0.0,1.0,Syria
26967,Meningitis,0.0,1.0,Syria
26968,Drowning,0.0,1.0,Guatemalan
26969,Hit by vehicle,0.0,1.0,Syria
27364,Drowning,0.0,3.0,Syria
27366,Mixed. Migrants were stranded on boats,0.0,60.0,Rohingya
27369,Drowning,0.0,1.0,Morocco
27372,Vehicle accident,0.0,3.0,Ecuador
27373,Drowning,0.0,1.0,Ethiopia
27374,Drowning,0.0,1.0,Salvadoran
27379,Beaten to death,0.0,3.0,Rohingya
27767,Mixed,0.0,10.0,Rohingya
27768,Drowning,130.0,0.0,Rohingya
28166,Drowning,13.0,0.0,Syria
28168,Drowning,0.0,3.0,Mexico
28170,Drowning,0.0,1.0,Mexico
28171,Drowning,0.0,1.0,Honduras
28566,Drowning,3.0,2.0,Syria
28572,Drowning,0.0,1.0,Mexico
28977,Drowning,19.0,3.0,Comoran
29779,Hypothermia,0.0,1.0,Syria
29780,Hypothermia,0.0,3.0,Syria
30178,Hypothermia,0.0,2.0,Afghanistan
30179,Landmine,0.0,1.0,Peru
30181,Hypothermia,0.0,1.0,Syria
30182,Exposure,0.0,1.0,Afghanistan
30183,Vehicle accident,0.0,20.0,Afghanistan
30977,Drowning,0.0,1.0,Afghanistan
31377,Exposure,0.0,1.0,Afghanistan
31777,Drowning,1.0,0.0,Cuba
34178,Drowning,0.0,1.0,El Salvador
35778,Drowning,0.5,1.25,Afghanistan
35778,Drowning,0.5,1.25,Iran
36178,Drowning,0.0,1.0,Mexico
36577,Fell from train,0.0,1.0,Egypt
36977,Drowning,0.0,1.0,Maghreb
37777,Drowning,8.0,0.0,Pakistan
38177,Drowning,0.0,1.0,Mexico
38579,Drowning,0.0,12.25,Sudan
38579,Drowning,0.0,12.25,Bangladesh
38978,Shot,0.0,1.0,Cuba
40177,Disease,0.0,1.0,Somalia
40978,Hit by Vehicle,0.0,1.0,Syria
